sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-14000,-14000,Meikyo Shisui,,,,,,,[],
-650,110,Gekko,420.0,42462.0,,Boss1,['Meikyo Shisui'],126106180.0,['Meikyo Shisui'],
110,110,Ikishoten,,,,,,,[],
110,642,Auto,90.0,9146.0,,Boss1,[],5850300.0,['Fugetsu'],
730,730,Grade 4 Gemdraught,,,,,,,[],
1820,2440,Kasha,420.0,51930.0,,Boss1,[],188617385.0,"['Fugetsu', 'Grade 4 Gemdraught']",
2750,3282,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
4291,5091,Yukikaze,340.0,42037.0,,Boss1,['Meikyo Shisui'],123596383.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
5040,5572,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
5903,5903,Embolden,,,,,,,[],6563.0
7041,8071,Tendo Setsugekka,1100.0,197918.0,,Boss1,[],457239242.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
7541,8073,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
7831,8501,Hissatsu: Senei,800.0,103867.0,,Boss1,[],754562566.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
9191,9191,Meikyo Shisui,,,,,,,[],
8571,9601,Tendo Kaeshi Setsugekka,1100.0,197918.0,,Boss1,[],457239242.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
9831,10363,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
9811,10841,Zanshin,940.0,122043.0,,Boss1,[],1041759072.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
10711,11471,Gekko,420.0,54527.0,,Boss1,['Meikyo Shisui'],207948625.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Meikyo Shisui']",
11331,11821,Hissatsu: Gyoten,100.0,12978.0,,Boss1,[],11779003.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
12121,12653,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,14272,Higanbana,200.0,25962.0,,Boss1,[],47144949.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
14411,14943,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
15792,16292,Ogi Namikiri,1000.0,179927.0,,Boss1,[],377876158.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,16500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
16392,16972,Shoha,640.0,83090.0,,Boss1,[],482863625.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
16701,17233,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
17132,17622,Kaeshi: Namikiri,1000.0,179927.0,,Boss1,[],377876158.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,19500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
18991,19523,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
19272,20032,Gekko,420.0,54527.0,,Boss1,[],207948625.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
19892,20512,Hissatsu: Shinten,250.0,32455.0,,Boss1,[],73677684.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
21281,21813,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
21412,22032,Kasha,420.0,54527.0,,Boss1,[],207948625.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,22500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
22032,22522,Hissatsu: Gyoten,100.0,12978.0,,Boss1,[],11779003.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
23571,24103,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
23552,24402,Gyofu,240.0,31154.0,,Boss1,[],67885518.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,25500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
25861,26393,Auto,90.0,10393.0,,Boss1,[],7554387.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
25692,26492,Yukikaze,340.0,44139.0,,Boss1,[],136261809.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
26312,26932,Hissatsu: Shinten,250.0,32455.0,,Boss1,[],73677684.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,28500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
28442,29472,Tendo Setsugekka,1100.0,188493.0,,Boss1,[],414732390.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
28942,29474,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
29973,31003,Tendo Kaeshi Setsugekka,1100.0,188493.0,,Boss1,[],414732390.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
13652,31500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
31232,31764,Auto,90.0,9898.0,,Boss1,[],6851445.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
32113,32963,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
33522,34054,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,34500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
34253,35053,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
35812,36344,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
36393,37243,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
13652,37500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
38102,38634,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
38533,39153,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,40500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
40392,40924,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
40673,41433,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
42682,43214,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,43500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
42813,43663,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
44972,45504,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
44954,45754,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,46500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
47094,47714,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
47262,47794,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,49500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
50034,50654,Midare Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
50534,51066,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
51374,52224,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
13652,52500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
52824,53356,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
53514,54314,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
13652,55500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
55114,55646,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
55654,56504,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
57404,57936,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
57794,58414,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
13652,58500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
58414,59034,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
59694,60226,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
59935,60695,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
13652,61500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
61984,62516,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
62075,62925,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
62695,63315,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
13652,64500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
64274,64806,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
64215,65015,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
66355,66975,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
66975,66975,Meikyo Shisui,,,,,,,[],
66564,67096,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
13652,67500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
68495,69115,Kaeshi: Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
68854,69386,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
69115,69785,Hissatsu: Senei,800.0,91403.0,,Boss1,[],584330583.0,"['Fugetsu', 'Fuka']",
69735,70355,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
13652,70500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
71245,72275,Tendo Setsugekka,1100.0,174167.0,,Boss1,[],354073868.0,"['Fugetsu', 'Fuka']",
71745,72277,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
72036,72656,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
13652,73500,Higanbana (dot),50.0,6567.0,,Boss1,[],3015677.0,"['Embolden', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught']",
72775,73805,Tendo Kaeshi Setsugekka,1100.0,174167.0,,Boss1,[],354073868.0,"['Fugetsu', 'Fuka']",
73395,73975,Shoha,640.0,73121.0,,Boss1,[],373956846.0,"['Fugetsu', 'Fuka']",
74035,74567,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
74916,75676,Gekko,420.0,47982.0,,Boss1,['Meikyo Shisui'],161026141.0,"['Fugetsu', 'Fuka', 'Meikyo Shisui']",
75536,76156,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
76325,76857,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,78476,Higanbana,200.0,22847.0,,Boss1,[],36510407.0,"['Fugetsu', 'Fuka']",
78615,79147,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,79500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
79196,79956,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
80905,81437,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
81336,81956,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
77856,82500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
83195,83727,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
83476,84326,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
84096,84716,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
77856,85500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
85485,86017,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
85616,86416,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
77856,88500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
88556,89176,Midare Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
89056,89588,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
89897,90747,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
77856,91500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
91346,91878,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
92037,92837,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
93636,94168,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,94500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
94177,95027,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
95926,96458,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
96317,96937,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
77856,97500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
98216,98748,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
98457,99217,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
77856,100500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
100506,101038,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
100597,101447,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
102796,103328,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,103500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
102737,103537,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
104878,105498,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
105086,105618,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,106500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
107018,107638,Kaeshi: Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
107376,107908,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,109500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
109958,110578,Midare Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
110458,110990,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
111298,112148,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
77856,112500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
111918,112538,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
112748,113280,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
113438,114238,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
77856,115500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
115038,115570,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
115578,116428,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
117328,117860,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
117718,118338,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
77856,118500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
119618,120150,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
119859,120619,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
120479,121099,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
77856,121500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
121908,122440,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
121999,122849,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
77856,124500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
124198,124730,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
124139,124939,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
124759,125379,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
126596,126596,Embolden,,,,,,,[],127256.0
126899,126899,Meikyo Shisui,,,,,,,[],
126279,126899,Kasha,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
126488,127020,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
77856,127500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
128419,129039,Kaeshi: Setsugekka,680.0,113045.0,,Boss1,[],149168649.0,"['Embolden', 'Fugetsu', 'Fuka']",
128778,129310,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
129038,129618,Shoha,640.0,76777.0,,Boss1,[],412298319.0,"['Embolden', 'Fugetsu', 'Fuka']",
129658,130278,Hissatsu: Shinten,250.0,29989.0,,Boss1,[],62902434.0,"['Embolden', 'Fugetsu', 'Fuka']",
77856,130500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
131169,132199,Tendo Setsugekka,1100.0,182875.0,,Boss1,[],390368906.0,"['Embolden', 'Fugetsu', 'Fuka']",
131669,132201,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
131960,132630,Hissatsu: Senei,800.0,95973.0,,Boss1,[],644220028.0,"['Embolden', 'Fugetsu', 'Fuka']",
133319,133319,Ikishoten,,,,,,,[],
77856,133500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
132699,133729,Tendo Kaeshi Setsugekka,1100.0,182875.0,,Boss1,[],390368906.0,"['Embolden', 'Fugetsu', 'Fuka']",
133959,134491,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
133939,134559,Hissatsu: Shinten,250.0,29989.0,,Boss1,[],62902434.0,"['Embolden', 'Fugetsu', 'Fuka']",
134839,135599,Gekko,420.0,50381.0,,Boss1,['Meikyo Shisui'],177526449.0,"['Embolden', 'Fugetsu', 'Fuka', 'Meikyo Shisui']",
135459,136489,Zanshin,940.0,112767.0,,Boss1,[],889412796.0,"['Embolden', 'Fugetsu', 'Fuka']",
77856,136500,Higanbana (dot),50.0,5778.0,,Boss1,[],2333763.0,"['Fugetsu', 'Fuka']",
136249,136781,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
137780,138400,Higanbana,200.0,23989.0,,Boss1,[],40249721.0,"['Embolden', 'Fugetsu', 'Fuka']",
138539,139071,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
137780,139500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
139920,140420,Ogi Namikiri,1000.0,166254.0,,Boss1,[],322631970.0,"['Embolden', 'Fugetsu', 'Fuka']",
140829,141361,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
141260,141750,Kaeshi: Namikiri,1000.0,166254.0,,Boss1,[],322631970.0,"['Embolden', 'Fugetsu', 'Fuka']",
137780,142500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
143119,143651,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
143400,144160,Gekko,420.0,50381.0,,Boss1,[],177526449.0,"['Embolden', 'Fugetsu', 'Fuka']",
144020,144640,Hissatsu: Shinten,250.0,29989.0,,Boss1,[],62902434.0,"['Embolden', 'Fugetsu', 'Fuka']",
144640,145220,Shoha,640.0,76777.0,,Boss1,[],412298319.0,"['Embolden', 'Fugetsu', 'Fuka']",
137780,145500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
145409,145941,Auto,90.0,9603.0,,Boss1,[],6450688.0,"['Embolden', 'Fugetsu', 'Fuka']",
145540,146160,Kasha,420.0,50381.0,,Boss1,[],177526449.0,"['Embolden', 'Fugetsu', 'Fuka']",
147699,148231,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
137780,148500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
147680,148530,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
149989,150521,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
149820,150620,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
150440,151060,Hissatsu: Shinten,250.0,28561.0,,Boss1,[],57056461.0,"['Fugetsu', 'Fuka']",
137780,151500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
152761,153381,Midare Setsugekka,680.0,107663.0,,Boss1,[],135294631.0,"['Fugetsu', 'Fuka']",
153261,153793,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
137780,154500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
154101,154951,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
155551,156083,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
156241,157041,Yukikaze,340.0,38842.0,,Boss1,[],105525015.0,"['Fugetsu', 'Fuka']",
137780,157500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
157841,158373,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
158381,159231,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
137780,160500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
160131,160663,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
160521,161141,Jinpu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
162421,162953,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
162661,163421,Gekko,420.0,47982.0,,Boss1,[],161026141.0,"['Fugetsu', 'Fuka']",
137780,163500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
164711,165243,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
164801,165651,Gyofu,240.0,27418.0,,Boss1,[],52581804.0,"['Fugetsu', 'Fuka']",
137780,166500,Higanbana (dot),50.0,6066.0,,Boss1,[],2573835.0,"['Embolden', 'Fugetsu', 'Fuka']",
167001,167533,Auto,90.0,9146.0,,Boss1,[],5850300.0,"['Fugetsu', 'Fuka']",
166942,167742,Shifu,300.0,34274.0,,Boss1,[],82159455.0,"['Fugetsu', 'Fuka']",
